gene	max	min
TARDBP	3.82965627278996	2.00743421885363e-09
ANKRD33B	3.82793910912104	5.50411669131279e-07
SRFBP1	3.82195054100648	1.51789557101267e-06
SH3BP5	3.80594362341786	7.64850405232664e-10
PRELID1	3.8014280118729	2.85058670002059e-08
RBMXL1	3.79903370912918	7.75024502353006e-08
KAAG1	3.79551857162279	1.6585783071843e-05
LPA	3.7854067414246	0.000159186824102209
MUSTN1	3.7816870052928	4.15497019945477e-06
GIMAP5	3.78137549125676	6.49709708255841e-09
ANK3	3.77973184586795	1.61410677268492e-05
HLA-C	3.77856749604244	6.51464659995327e-10
MINOS1	3.77769858472063	8.16779710532956e-09
GPSM3	3.77042337779494	2.44269804383634e-09
NDUFB8	3.76811291575441	7.21940729420112e-09
HLA-DMA	3.76165304370759	2.42700703978471e-09
TSTD2	3.76080357287226	1.1829426112886e-05
PSMB9	3.75518047607452	3.65951624559102e-09
NEB	3.75246008241044	0
BBS1	3.7507315007554	1.06185176207418e-08
DLEC1	3.74482640044006	2.52768437012385e-05
TMEFF1	3.74431814021939	5.32473376457787e-05
RASA4	3.73791316802064	2.26989262941402e-08
ANKRD23	3.7328604517249	1.64337766230815e-05
LRCH4	3.72800753526374	7.13629155768558e-10
HNRNPUL2	3.72705626758851	6.34299723856202e-10
AGPAT1	3.72609282654553	8.40332248230879e-10
GPR89B	3.72568956612772	4.24288907119319e-07
NFKBIL1	3.7199170225299	1.83998705161059e-09
KIFC1	3.71701879128831	1.86111566158331e-08
UTS2	3.698329562495	1.01873076285841e-06
